접점코드,판매점명,실판매POS,통신사,담당영업과장
S텔24547,준)승승장구,승승장구텔레콤6호점,후불)텔링크SK,황병준
S텔24301,준)승승장구,승승장구텔레콤15호점,후불)텔링크SK,황병준
S텔23952,준)승승장구,상승모바일5호점,후불)텔링크SK,황병준
S텔23480,준)승승장구,승승장구텔레콤5호점,후불)텔링크SK,황병준
S텔22873,준)승승장구,상승모바일3호점,후불)텔링크SK,황병준
S텔22464,준)승승장구,승승장구텔레콤23호점,후불)텔링크SK,황병준
S텔21999,준)승승장구,으뜸모바일,후불)텔링크SK,황병준
S텔21908,준)승승장구,상승모바일9호,후불)텔링크SK,황병준
S텔21891,준)승승장구,승승장구텔레콤21호점,후불)텔링크SK,황병준
S텔21870,준)승승장구,나눔모바일9호,후불)텔링크SK,황병준
S텔21248,준)승승장구,승승장구12호점,후불)텔링크SK,황병준
S텔21247,준)승승장구,승승장구9호점,후불)텔링크SK,황병준
S텔21246,준)승승장구,승승장구16호점,후불)텔링크SK,황병준
S텔21245,준)승승장구,승승장구14호점,후불)텔링크SK,황병준
S텔21244,준)승승장구,승승장구10호점,후불)텔링크SK,황병준
S텔21243,준)승승장구,역곡17호점,후불)텔링크SK,황병준
S텔21242,준)승승장구,주식회사승승장구8호점,후불)텔링크SK,황병준
S텔21226,준)승승장구,승승장구7호점,후불)텔링크SK,황병준
S텔21225,준)승승장구,상승모바일8호점,후불)텔링크SK,황병준
S텔21224,준)승승장구,상승모바일1호점,후불)텔링크SK,황병준
S텔21223,준)승승장구,승승장구3호점,후불)텔링크SK,황병준
S텔20500,준)승승장구,승승장구6호점,후불)텔링크SK,황병준
S텔20426,준)승승장구,승승장구텔레콤20호점,후불)텔링크SK,황병준
S텔20422,준)승승장구,승승장구텔레콤13호점,후불)텔링크SK,황병준
S텔20408,준)승승장구,승승장구텔레콤25호점,후불)텔링크SK,황병준
S텔20393,준)승승장구,상승12호,후불)텔링크SK,황병준
S텔20386,준)승승장구,승승장구22호점,후불)텔링크SK,황병준
S텔20216,준)승승장구,승승장구텔레콤26호점,후불)텔링크SK,황병준
