Column1,Column2,Column3
수)백마폰(일산),수)백마폰(일산),KT-VI
구)백제통신,구)백제통신,KT-VI
열)버스폰(광주),열)버스폰(광주),KT-VI
수)범경(별내),수)범경(별내),KT-VI
영)범이통신(세종),영)범이통신(세종),KT-VI
영)범텔레콤,영)범텔레콤,KT-VI
구)베스트모바일(천안),구)베스트모바일(천안),KT-VI
영)베스트텔레콤(춘천),영)베스트텔레콤(춘천),KT-VI
열)베스트통신(화성),열)베스트통신(화성),KT-VI
구)벳폰(안산),구)벳폰(안산),KT-VI
열)벼리정보통신(화순),열)벼리정보통신(화순),KT-VI
수)별통신(홍천),수)별통신(홍천),KT-VI
구)별해모바일 성성점(천안),구)별해모바일 성성점(천안),KT-VI
영)별해모바일(오송점),영)별해모바일(오송점),KT-VI
영)보경텔레콤(평택),영)보경텔레콤(평택),KT-VI
수)보담모바일(양평),수)보담모바일(양평),KT-VI
수)보람모바일(가정),수)보람모바일(가정),KT-VI
열)보배통신(광주),열)보배통신(광주),KT-VI
영)보성정보통신,영)보성정보통신,KT-VI
웅)보스,웅)보스,KT-VI
웅)봄봄(번동),웅)봄봄(번동),KT-VI
영)봄정보통신,영)봄정보통신,KT-VI
영)부산사상모바일(부산사상),영)부산사상모바일(부산사상),KT-VI
열)부산휴대폰성지폰甲(갑)알람폰개금점,열)부산휴대폰성지폰甲(갑)알람폰개금점,KT-VI
구)부자텔레콤,구)부자텔레콤,KT-VI
수)불티나통신(안동),수)불티나통신(안동),KT-VI
준)뷔통신(대전),준)뷔통신(대전),KT-VI
준)브라더,준)브라더,KT-VI
열)브이아이피텔레콤(제천),열)브이아이피텔레콤(제천),KT-VI
수)브이텀(다산),수)브이텀(다산),KT-VI
웅)블랙퀸,웅)블랙퀸,KT-VI
협력)비너,협력)비너,KT-VI
수)비디모바일(건대),수)비디모바일(건대),KT-VI
수)비알텔레콤(병점),수)비알텔레콤(병점),KT-VI
영)비엔모바일(부평),영)비엔모바일(부평),KT-VI
우)비엔통신,우)비엔통신,KT-VI
우)비젼텔레콤(중곡),우)비젼텔레콤(중곡),KT-VI
영)비젼통신(안양),영)비젼통신(안양),KT-VI
우)비젼플러스,우)비젼플러스,KT-VI
수)비타민텔레콤(청라),수)비타민텔레콤(청라),KT-VI
영)비티모바일(화성),영)비티모바일(화성),KT-VI
영)빅게임(미사점),영)빅게임(미사점),KT-VI
웅)빈모바일,웅)빈모바일,KT-VI
수)빈빈(건대),수)빈빈(건대),KT-VI
열)빈텔레콤(송파),열)빈텔레콤(송파),KT-VI
열)뽀로로모바일(인천),열)뽀로로모바일(인천),KT-VI
열)뽀로로모바일2호점(인천),열)뽀로로모바일2호점(인천),KT-VI
구)삐삐통신(정읍),구)삐삐통신(정읍),KT-VI
영)사계절통신,영)사계절통신,KT-VI
수)사계절폰(군포),수)사계절폰(군포),KT-VI
수)사계절폰(시흥),수)사계절폰(시흥),KT-VI
웅)사과모바일,웅)사과모바일,KT-VI
웅)사랑텔레콤(평창),웅)사랑텔레콤(평창),KT-VI
영)사랑통신(광주),영)사랑통신(광주),KT-VI
열)사하통신(부산),열)사하통신(부산),KT-VI
웅)산성텔레콤,웅)산성텔레콤,KT-VI
수)산성텔레콤(공주),수)산성텔레콤(공주),KT-VI
우)삼백통신,우)삼백통신,KT-VI
구)삼성스마트모바일(안양),구)삼성스마트모바일(안양),KT-VI
구)삼성플러스모바일(동작),구)삼성플러스모바일(동작),KT-VI
수)삼양프라자(미아),수)삼양프라자(미아),KT-VI
수)삼청통신(은평),수)삼청통신(은평),KT-VI
웅)상계폰폰폰,웅)상계폰폰폰,KT-VI
웅)상상트레이드,웅)상상트레이드,KT-VI
웅)새내모바일,웅)새내모바일,KT-VI
열)새론모바일(방화),열)새론모바일(방화),KT-VI
영)새별통신,영)새별통신,KT-VI
수)새봄모바일 (마석),수)새봄모바일 (마석),KT-VI
구)새봄통신,구)새봄통신,KT-VI
열)새솔11,열)새솔11,KT-VI
열)색깔텔레콤(성남),열)색깔텔레콤(성남),KT-VI
수)샛별정보통신 (인천),수)샛별정보통신 (인천),KT-VI
영)생생통신,영)생생통신,KT-VI
열)샤인모바일,열)샤인모바일,KT-VI
구)샴푸폰나라,구)샴푸폰나라,KT-VI
웅)서린글로벌,웅)서린글로벌,KT-VI
수)서브넷(당고개),수)서브넷(당고개),KT-VI
열)서안모바일,열)서안모바일,KT-VI
우)서이,우)서이,KT-VI
열)서준정보통신(포항),열)서준정보통신(포항),KT-VI
열)서하통신(청주),열)서하통신(청주),KT-VI
열)석영통신(여수),열)석영통신(여수),KT-VI
민)선모바일,민)선모바일,KT-VI
영)선봉모바일1호점,영)선봉모바일1호점,KT-VI
영)선봉모바일9호점,영)선봉모바일9호점,KT-VI
구)선정보통신,구)선정보통신,KT-VI
수)선중텔레콤(하남),수)선중텔레콤(하남),KT-VI
웅)선행통신,웅)선행통신,KT-VI
수)설아모바일(천호),수)설아모바일(천호),KT-VI
구)섬비서모바일(안산),구)섬비서모바일(안산),KT-VI
영)성공,영)성공,KT-VI
열)성공통신,열)성공통신,KT-VI
열)성남통신(금광점),열)성남통신(금광점),KT-VI
열)성남통신(성남),열)성남통신(성남),KT-VI
열)성남휴대폰성지(산성점),열)성남휴대폰성지(산성점),KT-VI
구)성성텔레콤(천안),구)성성텔레콤(천안),KT-VI
수)성신유통,수)성신유통,KT-VI
웅)성실모바일,웅)성실모바일,KT-VI
웅)성원텔레콤,웅)성원텔레콤,KT-VI
구)성지도매통신(강서구),구)성지도매통신(강서구),KT-VI
웅)성지모바일,웅)성지모바일,KT-VI
